Date,Account Name,Number,Description,Notes,Memo,Category,Type,Action,Reconcile,To With Sym,From With Sym,To Num.,From Num.,To Rate/Price,From Rate/Price
,,,,,,Accounts Receivable,S,,N,-C$9.77,,-9.77,,1.00,
2013-01-20,Accounts Receivable,327,IVS,,,-- Split Transaction --,T,Invoice,N,"C$8,848.48",,"8,848.48",,,
,,,,,,Accounts Receivable,S,Invoice,N,"C$8,848.48",,"8,848.48",,1.00,
,,,,,,TVQ No. 1218496586 TQ0001,S,Invoice,N,,-C$767.68,,-767.68,,1.00
,,,,,,TPS No. 838993681 RT0001,S,Invoice,N,,-C$384.80,,-384.80,,1.00
,,,,,,REMOVED88,S,Invoice,N,,"-C$7,696.00",,"-7,696.00",,1.00
2013-02-10,Accounts Receivable,329,IVS,,,-- Split Transaction --,T,Invoice,N,"C$16,463.28",,"16,463.28",,,
,,,,,,Accounts Receivable,S,Invoice,N,"C$16,463.28",,"16,463.28",,1.00,
,,,,,,TVQ No. 1218496586 TQ0001,S,Invoice,N,,"-C$1,428.32",,"-1,428.32",,1.00
,,,,,,TPS No. 838993681 RT0001,S,Invoice,N,,-C$715.96,,-715.96,,1.00
,,,,,,REMOVED88,S,Invoice,N,,"-C$14,319.00",,"-14,319.00",,1.00
2013-02-14,Accounts Receivable,,WSX,,Internal link between invoice and payment lots,Accounts Receivable,T,Lot Link,N,"-C$8,423.07",,"-8,423.07",,,
,,,,,Internal link between invoice and payment lots,Accounts Receivable,S,Lot Link,N,"C$8,423.07",,"8,423.07",,1.00,
