Date,AccountNumber2,Payee3,Notes,Account Name,Total,Expense,TPS,TVQ,Category,CategoryID,Reconciled from
2018-07-20,31944d3aedb7a5e7a87c9aa3f8dae825,Gemstelecom/CRONOMAGIC,4316,Internet,59.99,51.01,3,5.98,Utilities,49bcd9d8957972e606cc9d8465796402,Email statement
2018-08-20,31944d3aedb7a5e7a87c9aa3f8dae825,Gemstelecom/CRONOMAGIC,4316,Internet,59.99,51.01,3,5.98,Utilities,49bcd9d8957972e606cc9d8465796402,Email statement
2018-09-02,31944d3aedb7a5e7a87c9aa3f8dae825,DOMAINSATCOST,6013,Hosting,11.83,10.06,0.59,1.18,Amazon,5add7dd99382de8f166cb7e89b744062,fieldl
2018-09-02,31944d3aedb7a5e7a87c9aa3f8dae825,DOMAINSATCOST,6014,Hosting,11.83,10.06,0.59,1.18,Amazon,5add7dd99382de8f166cb7e89b744062,seedn
2018-09-05,31944d3aedb7a5e7a87c9aa3f8dae825,DOMAINSATCOST,6015,Hosting,11.83,10.06,0.59,1.18,Amazon,5add7dd99382de8f166cb7e89b744062,field
2018-09-20,31944d3aedb7a5e7a87c9aa3f8dae825,Gemstelecom/CRONOMAGIC,4316,Internet,59.99,51.01,3,5.98,Utilities,49bcd9d8957972e606cc9d8465796402,Email statement
2018-10-02,31944d3aedb7a5e7a87c9aa3f8dae825,DOMAINSATCOST,6016,Hosting,11.83,10.06,0.59,1.18,Amazon,5add7dd99382de8f166cb7e89b744062,sync.com
2018-10-02,31944d3aedb7a5e7a87c9aa3f8dae825,DOMAINSATCOST,6017,Hosting,11.83,10.06,0.59,1.18,Amazon,5add7dd99382de8f166cb7e89b744062,sync.org
2018-10-07,31944d3aedb7a5e7a87c9aa3f8dae825,DOMAINSATCOST,6018,Hosting,11.83,10.06,0.59,1.18,Amazon,5add7dd99382de8f166cb7e89b744062,lab.ca
2018-10-17,31944d3aedb7a5e7a87c9aa3f8dae825,DOMAINSATCOST,6019,Hosting,11.83,10.06,0.59,1.18,Amazon,5add7dd99382de8f166cb7e89b744062,ces
2018-10-20,31944d3aedb7a5e7a87c9aa3f8dae825,Gemstelecom/CRONOMAGIC,4316,Internet,59.99,51.01,3,5.98,Utilities,49bcd9d8957972e606cc9d8465796402,Email statement
2018-11-03,31944d3aedb7a5e7a87c9aa3f8dae825,DOMAINSATCOST,6020,Hosting,11.83,10.06,0.59,1.18,Amazon,5add7dd99382de8f166cb7e89b744062,openl
2018-11-20,31944d3aedb7a5e7a87c9aa3f8dae825,Gemstelecom/CRONOMAGIC,4316,Internet,59.99,51.01,3,5.98,Utilities,49bcd9d8957972e606cc9d8465796402,Email statement
2018-12-02,31944d3aedb7a5e7a87c9aa3f8dae825,DOMAINSATCOST,6021,Hosting,11.83,10.06,0.59,1.18,Amazon,5add7dd99382de8f166cb7e89b744062,pho
2018-12-20,31944d3aedb7a5e7a87c9aa3f8dae825,Gemstelecom/CRONOMAGIC,4316,Internet,59.99,51.01,3,5.98,Utilities,49bcd9d8957972e606cc9d8465796402,Email statement
