"Date";"Account Name";"Number";"Description";"Notes";"Memo";"Category";"Type";"Action";"Reconcile";"To With Sym";"From With Sym";"To Num.";"From Num.";"To Rate/Price";"From Rate/Price"
"";"";"";"";"";"";"Cash and Deposit";"S";"";"N";"-C$473.29";"";"-473.29";"";"1.00";""
"2012-04-06";"Cash and Deposit";"";"Koodo";"";"";"Cell Phone";"T";"";"N";"-C$46.45";"";"-46.45";"";"";""
"";"";"";"";"";"";"Cell Phone";"S";"";"N";"";"C$46.45";"";"46.45";"";"1.00"
"";"";"";"";"";"";"Cash and Deposit";"S";"";"N";"-C$46.45";"";"-46.45";"";"1.00";""
"2012-04-07";"Cash and Deposit";"";"Walmart - Coffee Machine";"";"";"Office Furniture";"T";"";"N";"-C$31.93";"";"-31.93";"";"";""
"";"";"";"";"";"";"Office Furniture";"S";"";"N";"";"C$31.93";"";"31.93";"";"1.00"
"";"";"";"";"";"";"Cash and Deposit";"S";"";"N";"-C$31.93";"";"-31.93";"";"1.00";""
"2012-04-09";"Cash and Deposit";"";"IGA";"";"";"Office food";"T";"";"N";"-C$28.65";"";"-28.65";"";"";""
"";"";"";"";"";"";"Office food";"S";"";"N";"";"C$28.65";"";"28.65";"";"1.00"
"";"";"";"";"";"";"Cash and Deposit";"S";"";"N";"-C$28.65";"";"-28.65";"";"1.00";""
"2012-04-11";"Cash and Deposit";"";"Premiere Moisson";"";"";"Representation";"T";"";"N";"-C$6.11";"";"-6.11";"";"";""
"";"";"";"";"";"";"Representation";"S";"";"N";"";"C$6.11";"";"6.11";"";"1.00"
"";"";"";"";"";"";"Cash and Deposit";"S";"";"N";"-C$6.11";"";"-6.11";"";"1.00";""
"2012-04-12";"Cash and Deposit";"4";"Work Visa Dr. Employee6";"";"";"Other";"T";"";"N";"-C$364.00";"";"-364.00";"";"";""
"";"";"";"";"";"";"Other";"S";"";"N";"";"C$364.00";"";"364.00";"";"1.00"
"";"";"";"";"";"";"Cash and Deposit";"S";"";"N";"-C$364.00";"";"-364.00";"";"1.00";""
"2012-04-14";"Cash and Deposit";"";"Telus";"";"";"Cell Phone";"T";"";"N";"-C$91.29";"";"-91.29";"";"";""
"";"";"";"";"";"";"Cell Phone";"S";"";"N";"";"C$91.29";"";"91.29";"";"1.00"
"";"";"";"";"";"";"Cash and Deposit";"S";"";"N";"-C$91.29";"";"-91.29";"";"1.00";""
"2012-04-14";"Cash and Deposit";"";"Chrome Store Dev Registration";"";"";"Dues and Subscriptions";"T";"";"N";"-C$5.08";"";"-5.08";"";"";""
"";"";"";"";"";"";"Dues and Subscriptions";"S";"";"N";"";"C$5.08";"";"5.08";"";"1.00"
"";"";"";"";"";"";"Cash and Deposit";"S";"";"N";"-C$5.08";"";"-5.08";"";"1.00";""
"2012-04-17";"Cash and Deposit";"";"L2 Lounge";"";"";"Representation";"T";"";"N";"-C$3.55";"";"-3.55";"";"";""
"";"";"";"";"";"";"Representation";"S";"";"N";"";"C$3.55";"";"3.55";"";"1.00"
"";"";"";"";"";"";"Cash and Deposit";"S";"";"N";"-C$3.55";"";"-3.55";"";"1.00";""
"2012-04-18";"Cash and Deposit";"";"La Legende Patisserie";"";"";"Representation";"T";"";"N";"-C$16.61";"";"-16.61";"";"";""
"";"";"";"";"";"";"Representation";"S";"";"N";"";"C$16.61";"";"16.61";"";"1.00"
"";"";"";"";"";"";"Cash and Deposit";"S";"";"N";"-C$16.61";"";"-16.61";"";"1.00";""
"2012-04-23";"Cash and Deposit";"";"IGA";"";"";"Office food";"T";"";"N";"-C$8.58";"";"-8.58";"";"";""
"";"";"";"";"";"";"Office food";"S";"";"N";"";"C$8.58";"";"8.58";"";"1.00"
"";"";"";"";"";"";"Cash and Deposit";"S";"";"N";"-C$8.58";"";"-8.58";"";"1.00";""
"2012-04-23";"Cash and Deposit";"";"Investment Employee3";"";"";"2-Owners investment";"T";"";"N";"C$14,000.00";"";"14,000.00";"";"";""
"";"";"";"";"";"";"Cash and Deposit";"S";"";"N";"C$14,000.00";"";"14,000.00";"";"1.00";""
"";"";"";"";"";"";"2-Owners investment";"S";"";"N";"";"-C$14,000.00";"";"-14,000.00";"";"1.00"
"2012-04-24";"Cash and Deposit";"";"Google Play Dev Fee";"";"";"Dues and Subscriptions";"T";"";"N";"-C$25.27";"";"-25.27";"";"";""
"";"";"";"";"";"";"Dues and Subscriptions";"S";"";"N";"";"C$25.27";"";"25.27";"";"1.00"
"";"";"";"";"";"";"Cash and Deposit";"S";"";"N";"-C$25.27";"";"-25.27";"";"1.00";""
"2012-04-25";"Cash and Deposit";"";"IGA";"";"";"Office food";"T";"";"N";"-C$27.64";"";"-27.64";"";"";""
"";"";"";"";"";"";"Office food";"S";"";"N";"";"C$27.64";"";"27.64";"";"1.00"
"";"";"";"";"";"";"Cash and Deposit";"S";"";"N";"-C$27.64";"";"-27.64";"";"1.00";""
